"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"98",1,"101204794","LX Fleet","front wheel drive","4","Flex Fuel","Minivan","Midsize","Minivan","Passenger Minivan","Minivan","6","3301","175","5000","205","4000"
"99",1,"200704318","LX","front wheel drive","4","Flex Fuel","Minivan","Midsize","Minivan","Passenger Minivan","Minivan","6","3605","283","6400","260","4400"
"100",1,"100385376","CV","front wheel drive","4","N/A","Cargo Vans","Large","Minivan","Cargo Minivan","Minivan","6","3301","180","5000","210","4000"
"101",1,"100578150","ST","rear wheel drive","4","N/A","Standard Pickup Trucks","Compact","Truck","Extended Cab Pickup","Truck","6","3701","210","5200","235","4000"
"102",1,"200439582","Citadel","rear wheel drive","4","Crossover,Flex Fuel,Performance","Sport Utility Vehicles","Large","SUV","4dr SUV","SUV","6","3604","290","6400","260","4800"
"103",1,"100385379","CV","front wheel drive","4","Flex Fuel","Cargo Vans","Large","Minivan","Cargo Minivan","Minivan","6","3301","180","5200","210","4000"
"104",1,"100803079","C/V","front wheel drive","4","Flex Fuel","Cargo Vans","Midsize","Minivan","Cargo Minivan","Minivan","6","3301","170","5000","200","4000"
"105",1,"100973340","SE","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2360","173","6000","166","4000"
"106",1,"100401305","SRT-10","rear wheel drive","2","Factory Tuner,High-Performance","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","10","8277","500","5600","525","4200"
"107",1,"100593572","ST","rear wheel drive","2","Flex Fuel","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","6","3701","215","5200","235","4000"
"108",1,"100811023","ST","rear wheel drive","2","Flex Fuel","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","6","3701","215","5200","235","4000"
"109",1,"101061284","ST","rear wheel drive","2","Flex Fuel","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","6","3701","210","5200","235","4000"
"110",1,"101235876","Pop","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1368","101","6500","98","4000"
"111",1,"200440780","Abarth","front wheel drive","2","Hatchback,Factory Tuner,Performance","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1368","160","5500","170","2500"
"112",1,"200493795","Pop","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1368","101","6500","98","4000"
"113",1,"200700813","Abarth","front wheel drive","2","Hatchback,Factory Tuner,Performance","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1368","160","5500","170","2500"
"114",1,"200461885","Easy","front wheel drive","4","N/A","Small Station Wagons","Compact","Car","Wagon","Car","4","1368","160","5500","184","2500"
