Count of cars.make,,,,
score,cars.make,cars.model,cars.distance,Total
,,,1.461688418,1
,,,1.557133799,1
,,,1.651021015,1
,,,1.739210825,1
,,,1.838521363,1
,,,1.95200455,1
,,,2.040348811,1
,,,2.085121757,1
,,,2.217387341,1
,,,2.280293229,1
,,,2.319875604,1
,,,2.441694434,1
,,,2.510796643,1
,,,2.512321189,1
,,,2.525606873,1
,,,2.905262489,1
,,,3.008928571,1
,,,3.034561943,1
,,,3.083824328,1
,,,4.38615135,1
0.167225016,,,,1
,honda,,,1
,,accord-hybrid,,1
,,,2.76892428,1
0.166153873,,,,37
,toyota,,,37
,,prius,,37
,,,0.381228046,1
,,,0.434847627,1
,,,0.719534203,1
,,,0.742161119,1
,,,0.875715543,1
,,,1.040306746,1
,,,1.148653671,1
,,,1.184382922,1
,,,1.438988681,1
,,,1.751445845,1
,,,1.884311824,1
,,,1.885877857,1
,,,1.938824459,1
,,,1.992856896,1
,,,2.031441611,1
,,,2.06327864,1
,,,2.078950219,1
,,,2.108497781,1
,,,2.162678031,1
,,,2.230433849,1
,,,2.323176525,1
,,,2.323335478,1
,,,2.416496663,1
,,,2.665639792,1
,,,2.753661315,1
,,,2.846625251,1
,,,2.974292324,1
,,,3.525816229,1
,,,3.898817563,1
,,,5.010086035,1
,,,8.303035185,1
,,,10.94652082,1
,,,11.0824495,1
,,,11.31668602,1
,,,11.37625198,1
,,,11.95718691,1
,,,12.15041071,1
0.161700187,,,,3
,toyota,,,3
,,prius-v,,3
,,,2.36947275,1
,,,2.520176335,1
,,,9.808032571,1
0.148260959,,,,6
,lexus,,,6
,,ct-200h,,6
,,,0.764474011,1
,,,1.070258619,1
,,,1.448814025,1
,,,1.910806483,1
,,,2.353933692,1
,,,3.103094811,1
0.143415998,,,,6
,toyota,,,6
,,camry-hybrid,,6
,,,1.346011685,1
,,,2.676195993,1
,,,2.692079935,1
,,,2.75654047,1
,,,2.990995057,1
,,,9.955602065,1
0.143375165,,,,1
,honda,,,1
,,insight,,1
,,,11.60914612,1
0.14045757,,,,1
,volkswagen,,,1
,,jetta-hybrid,,1
,,,1.215854657,1
0.139835342,,,,1
,honda,,,1
,,insight,,1
,,,11.34233539,1
0.133140327,,,,3
,lexus,,,3
,,es-300h,,3
,,,1.068858416,1
,,,1.706693853,1
,,,2.056631931,1
0.132796529,,,,4
,toyota,,,4
,,camry-hybrid,,4
,,,0.599234878,1
,,,1.99524471,1
,,,3.436054539,1
,,,10.93254073,1
0.12488088,,,,4
,ford,,,4
,,escape-hybrid,,4
,,,0.810981149,1
,,,1.886777178,1
,,,2.128844164,1
,,,2.409990882,1
0.123893805,,,,3
,ford,,,3
,,fusion-hybrid,,3
,,,2.119176692,1
,,,2.780421235,1
,,,3.182766445,1
0.12208181,,,,1
,hyundai,,,1
,,sonata-hybrid,,1
,,,1.638967558,1
0.119799072,,,,1
,mercury,,,1
