"","styles.id","Curb Weight","Epa City Mpg","Epa Combined Mpg","Epa Interior Volume","Max Cargo Capacity","Total Number Of Speakers"
"68",100614381,"2696","24","27","105.7","11.4","4"
"69",100625407,"4378","17","19",NA,"147.4","4"
"70",100632169,"4533","13","15",NA,"64.5","11"
"71",100632728,"3101","20","23","115.8","15.8","4"
"72",100633129,"3180","18","20",NA,NA,"4"
"73",100640227,"2739","20","23","112.4","45.4","8"
"74",100650233,"3318","20","23",NA,"72.0","4"
"75",100650681,"4471","15","17",NA,"81.5","7"
"76",100653373,"2593","26","29","95.2","11.5",NA
"77",100655175,"3580","18","21","110.4",NA,"8"
"78",100655406,"3339","17","19","57.3","6.8","6"
"79",100655454,"4136","15","17",NA,"65.7","6"
"80",100658867,"2701","22","25","109.2",NA,"6"
"81",100668206,"3345","20","23","104.2",NA,"8"
"82",100668257,"2890","48","46","112.3",NA,"6"
"83",100669343,"3803","18","21",NA,"12.8","8"
"84",100687470,"4387","16","18",NA,"141.5","8"
"85",100689152,"2293","29","32","100",NA,"4"
"86",100692871,"2432","28","31","111.4",NA,"4"
"87",100693754,"3020","18","21","47.6",NA,"10"
"88",100699449,"3263","21","25","116.4",NA,"6"
"89",100701540,"3680","33","34","112",NA,"8"
"90",100701890,"2531","23","27","103.1",NA,"4"
"91",100702449,"3494","16","18",NA,"10.1","13"
"92",100716905,"3012","21","23",NA,NA,"2"
"93",100728687,"2965","21","24","97.5","59.7","6"
"94",100756780,"4500","15","17",NA,"8.5","6"
"95",100764174,"3303","18","20",NA,NA,"2"
"96",100773231,"3968","17","19",NA,"60.6","7"
"97",100773249,NA,"19","22","102.3","11.4","6"
"98",100773491,"2530","28","31","103.9",NA,"4"
"99",100775891,"3351","18","21","99.6",NA,"10"
"100",100775894,"4316","15","17",NA,"68.5","6"
"101",100777076,"3300","21","23",NA,"73.0","6"
"102",100777218,"2932","48","46","110.6",NA,"6"
"103",100777997,"3230","19","22","107.0",NA,"8"
"104",100778133,"2884","20","23","93.0","27.1","6"
"105",100785822,"4070","28","26",NA,"80.6","6"
"106",100786159,"2780","24","27",NA,NA,"4"
"107",100793568,"3180","20","22",NA,NA,"4"
"108",100796734,"3240","20","22",NA,"65.5","6"
"109",100796770,"3016","19","22","98.6","11.0","4"
"110",100803079,"4418","17","20",NA,"144.2","2"
"111",100804546,"2586","26","29","95.2",NA,NA
"112",100804596,"3287","21","24","116.1",NA,"4"
"113",100805003,"4150","16","17",NA,"65.7","6"
"114",100811023,"4560","14","16",NA,NA,"4"
"115",100813264,"3675","19","21",NA,"33.5","4"
"116",100828461,"5468","12","15",NA,"71.0","14"
"117",100831031,"3020","18","21","56.8","9.2","10"
"118",100834792,"4177","17","19",NA,"148.9","6"
"119",100837390,"2546","27","31",NA,NA,"6"
"120",100849331,NA,"34","32",NA,"65.9","4"
"121",100862249,"2922","21","24","106.4","11.6","4"
"122",100867917,NA,"20","22","102.3",NA,"6"
"123",100882872,"3428","20","24","103.5","13.4","10"
"124",100884945,"2530","28","31","103.9",NA,"4"
"125",100887235,"3140","20","22","126.1","68.6","4"
"126",100888152,"1808","33","36",NA,"7.7","2"
"127",100890754,"4500","15","17",NA,"8.5","6"
"128",100890946,"3627","18","21",NA,"12.8","8"
"129",100895881,"2693","26","28","112.5","50.4","4"
"130",100900040,"3979","18","20",NA,"95.4","6"
"131",100900306,"3680","33","34","112",NA,"6"
"132",100903333,"4570","14","16",NA,NA,NA
"133",100903479,"2624","26","28","95.0","35.7","6"
"134",100903484,"3064","20","22","105.7",NA,"4"
"135",100905540,"3924","17","19",NA,NA,"7"
"136",100905565,"3469","18","22","115.0",NA,"6"
"137",100907836,"3980","16","19",NA,"64.2","6"
"138",100919847,"2295","29","32","93.9","25.7","4"
"139",100919904,"3030","21","23",NA,NA,"2"
"140",100920075,"2932","48","46","110.6",NA,"6"
"141",100920101,"3300","21","24",NA,"73.0","6"
"142",100920822,"2925","25","28","110.5",NA,"4"
"143",100924402,"2588","24","28","107.1",NA,"4"
"144",100924408,"2432","28","31","111.3","41.9","4"
"145",100924745,"3100","20","24","109.3",NA,"10"
"146",100931589,"3860","23","26","113.1","15.9","12"
"147",100933613,"3389","20","23",NA,"72.9","4"
"148",100933776,"2586","26","29","95.2",NA,NA
"149",100933962,"2445","22","24",NA,"5.3","4"
"150",100939475,"4293","16","19",NA,"148.1","8"
"151",100939797,"3093","21","24","111.3",NA,"6"
"152",100944553,"3267","22","24",NA,"57.9","4"
"153",100946384,"3351","18","21","99.6",NA,"10"
"154",100948233,"3417","22","24",NA,"70.9","6"
"155",100949597,"3303","18","20",NA,NA,"2"
"156",100952860,"4385","16","18",NA,"147.4","4"
"157",100952883,"3527","20","22",NA,"72.6","6"
"158",100954922,"3585","17","20","91.9","10.4","6"
"159",100955393,"2546","28","32",NA,"24.0","6"
"160",100956053,"3240","20","22",NA,"65.5","6"
"161",100973340,"3796","19","21",NA,"67.6","6"
"162",100974974,"3252","18","21",NA,NA,"10"
"163",100975555,"3263","21","25","116.4",NA,"6"
"164",100975664,"3680","33","34","112",NA,"6"
"165",100981570,"2865","26","28","113.8","48.9","4"
"166",100989547,"4468","17","19",NA,"83.2","6"
"167",100990383,"2922","22","25","105.8","12.3","4"
"168",100992079,"3250","20","22",NA,"68.3","4"
"169",101006609,NA,"20","23","115.8",NA,"6"
"170",101008044,"3230","21","24","107.0",NA,"8"
"171",101011896,"2975","21","24","109.0",NA,"10"
"172",101016618,"5264",NA,NA,NA,"236.5","2"
"173",101016843,"2568","28","32",NA,"24.0","6"
"174",101017659,"2723","28","32",NA,"32.8","6"
"175",101020460,"2693","26","28","112.5","50.4","4"
"176",101020574,NA,"34","32",NA,"66.1","4"
