"","styles.id","styles.drivewheels","styles.doors","categories.market","categories.vehiclesize","categories.vehiclestyle","engine.cylinder","engine.horsepower","engine.torque"
"200","100474925","front wheel drive","4","Crossover","Midsize","4dr SUV","4","160","162"
"201","100650233","front wheel drive","4","Crossover","Midsize","4dr SUV","4","156","160"
"202","100933613","front wheel drive","4","Crossover","Compact","4dr SUV","4","166","161"
"203","101077136","front wheel drive","4","Crossover","Compact","4dr SUV","4","166","161"
"204","101209997","front wheel drive","4","Crossover","Compact","4dr SUV","4","180","161"
"205","101358288","front wheel drive","4","Crossover","Compact","4dr SUV","4","180","161"
"206","200436009","front wheel drive","4","Crossover","Compact","4dr SUV","4","185","163"
"207","200484877","front wheel drive","4","Crossover","Compact","4dr SUV","4","185","163"
"208","200701070","front wheel drive","4","Crossover","Compact","4dr SUV","4","185","181"
"209","100375779","front wheel drive","4","Crossover","Compact","4dr SUV","4","160","161"
"210","101242798","front wheel drive","4","Crossover","Compact","4dr SUV","4","166","161"
"211","101367575","front wheel drive","4","Crossover","Compact","4dr SUV","4","166","161"
"212","100692871","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","109","105"
"213","100924408","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","109","105"
"214","101200427","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","117","106"
"215","101370710","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","117","106"
"216","101403464","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","117","106"
"217","200429042","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","117","106"
"218","200498132","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","130","114"
"219","200742364","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","130","114"
"220","200675652","front wheel drive","4","Crossover","Compact","4dr SUV","4","141","127"
"221","101119958","front wheel drive","4","Hatchback,Hybrid","Compact","4dr Hatchback","4","98","123"
"222","200437626","front wheel drive","4","Hatchback,Hybrid","Compact","4dr Hatchback","4","98","123"
"223","100625407","front wheel drive","4","N/A","Large","Passenger Minivan","6","244","240"
"224","100952860","front wheel drive","4","N/A","Large","Passenger Minivan","6","244","240"
"225","101064475","front wheel drive","4","N/A","Large","Passenger Minivan","6","244","240"
"226","101193252","front wheel drive","4","N/A","Large","Passenger Minivan","6","244","240"
"227","200433269","front wheel drive","4","N/A","Large","Passenger Minivan","6","248","250"
"228","200707732","front wheel drive","4","N/A","Large","Passenger Minivan","6","248","250"
"229","100756780","four wheel drive","4","N/A","Large","Crew Cab Pickup","6","247","245"
"230","100890754","four wheel drive","4","N/A","Large","Crew Cab Pickup","6","247","245"
"231","200489100","four wheel drive","4","N/A","Large","Crew Cab Pickup","6","250","247"
"232","200759751","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","137","123"
"233","101197477","front wheel drive","4","N/A","Compact","Sedan","4","138","136"
"234","101286105","front wheel drive","4","N/A","Compact","Sedan","4","148","131"
"235","101387214","front wheel drive","4","N/A","Compact","Sedan","4","148","131"
"236","101426246","front wheel drive","4","N/A","Compact","Sedan","4","148","131"
"237","200700040","front wheel drive","4","N/A","Compact","Sedan","4","145","130"
"238","200711259","front wheel drive","4","N/A","Compact","Sedan","4","145","130"
"239","101422167","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","148","131"
"240","200498784","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","173","154"
"241","101367006","front wheel drive","4","Crossover","Midsize","4dr SUV","4","175","169"
"242","200715970","front wheel drive","4","Crossover","Midsize","4dr SUV","4","190","181"
"243","100534615","front wheel drive","4","Performance","Midsize","Sedan","6","235","226"
"244","101216524","front wheel drive","4","N/A","Midsize","Sedan","4","198","184"
"245","200417702","front wheel drive","4","N/A","Midsize","Sedan","4","198","184"
"246","200491188","front wheel drive","4","N/A","Midsize","Sedan","4","190","179"
"247","200463471","front wheel drive","4","Hybrid","Midsize","Sedan","4","199","235"
"248","100796734","front wheel drive","4","Crossover","Compact","4dr SUV","4","140","136"
"249","100956053","front wheel drive","4","Crossover","Compact","4dr SUV","4","140","136"
"250","101393259","front wheel drive","3","Hatchback,Performance","Compact","2dr Hatchback","4","201","195"
"251","101251003","rear wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","6","303","262"
