"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"463",1,"100699449","CE","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2362","158","6000","161","4000"
"464",1,"100975555","Base","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2362","158","6000","161","4000"
"465",1,"101329650","L","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2494","178","6000","170","4100"
"466",1,"200485956","L","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2494","178","6000","170","4100"
"467",1,"200693838","LE","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2494","178","6000","170","4100"
"468",1,"200746614","XLE","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","6","3456","268","6200","248","4700"
"469",1,"100701540","Base","front wheel drive","4","Hybrid","Midsize Cars","Midsize","Car","Sedan","Car","4","2362","187","6000","138","4400"
"470",1,"100900306","Base","front wheel drive","4","Hybrid","Midsize Cars","Midsize","Car","Sedan","Car","4","2362","187","6000","138","4400"
"471",1,"200444458","XLE","front wheel drive","4","Hybrid","Midsize Cars","Midsize","Car","Sedan","Car","4","2494","200","5700",NA,NA
"472",1,"200486100","LE","front wheel drive","4","Hybrid","Midsize Cars","Midsize","Car","Sedan","Car","4","2494","200","5700",NA,NA
"473",1,"100074062","CE","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1794","130","6000","125","4200"
"474",1,"100282812","CE","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1794","130","6000","125","4200"
"475",1,"100394563","CE","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1794","130","6000","125","4200"
"476",1,"100578062","CE","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1794","126","6000","122","4200"
"477",1,"100773491","CE","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1794","126","6000","122","4200"
"478",1,"101140837","Base","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1798","132","6000","128","4400"
"479",1,"101372439","Base","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1798","132","6000","128","4400"
"480",1,"101419636","L","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1798","132","6000","128","4400"
"481",1,"200431095","L","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1798","132","6000","128","4400"
"482",1,"200465951","L","front wheel drive","4","N/A","Compact Cars","Compact","Car","Sedan","Car","4","1798","132","6000","128","4400"
"483",1,"200707276","S","front wheel drive","4","N/A","Midsize Cars","Compact","Car","Sedan","Car","4","1798","132","6000","128","4400"
"484",1,"200746653","LE Eco Plus","front wheel drive","4","N/A","Midsize Cars","Compact","Car","Sedan","Car","4","1798","140","6100","126","4000"
"485",1,"100003122","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2362","155","5600","163","4000"
"486",1,"100167043","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2362","155","5600","163","4000"
"487",1,"100339428","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2362","160","5700","165","4000"
"488",1,"100900040","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3456","270","6200","248","4700"
"489",1,"101082357","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3456","270","6200","248","4700"
"490",1,"101400169","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2672","187","5800","186","4100"
"491",1,"100529553","Base","front wheel drive","4","Crossover,Hybrid","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3311","268","5600","212","4400"
"492",1,"101400238","Base","all wheel drive","4","Crossover,Hybrid","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3456","280","5800",NA,NA
"493",1,"100395248","Base","front wheel drive","4","N/A","Midsize Station Wagons","Compact","Car","Wagon","Car","4","1794","130","6000","125","4200"
"494",1,"100579324","Base","front wheel drive","4","N/A","Small Station Wagons","Compact","Car","Wagon","Car","4","1794","126","6000","122","4200"
"495",1,"100981570","Base","front wheel drive","4","Hatchback","Small Station Wagons","Compact","Car","4dr Hatchback","Car","4","1798","132","6000","128","4200"
"496",1,"101419294","L","front wheel drive","4","Hatchback","Small Station Wagons","Compact","Car","4dr Hatchback","Car","4","1798","132","6000","128","4400"
"497",1,"100454051","Base","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1497","110","5000","82","4200"
"498",1,"100668257","Base","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1497","110","5000","82","4200"
"499",1,"100777218","Base","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1497","110","5000","82","4200"
"500",1,"100920075","Standard","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1497","110","5000","82","4200"
"501",1,"101042868","Standard","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1497","110","5000","82","4200"
"502",1,"101136093","I","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"503",1,"101363292","Two","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"504",1,"101420715","One","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"505",1,"200440600","Five","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"506",1,"200492959","Four","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"507",1,"200706772","Four","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200",NA,NA
"508",1,"200474303","Two","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1797","121","5200",NA,NA
"509",1,"101392514","One","front wheel drive","4","Hatchback,Hybrid","Compact Cars","Compact","Car","4dr Hatchback","Car","4","1497","99","4800","82","4000"
"510",1,"200444498","Four","front wheel drive","4","Hatchback,Hybrid","Compact Cars","Compact","Car","4dr Hatchback","Car","4","1497","99","4800","82","4000"
"511",1,"200496061","Four","front wheel drive","4","Hatchback,Hybrid","Compact Cars","Compact","Car","4dr Hatchback","Car","4","1497","99","4800","82","4000"
"512",1,"200722836","Two","front wheel drive","4","Hatchback,Hybrid","Compact Cars","Compact","Car","4dr Hatchback","Car","4","1497","99","4800",NA,NA
"513",1,"101384757","Base","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"514",1,"200441423","Base","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"515",1,"200495858","Advanced","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"516",1,"200710958","Base","front wheel drive","4","Hatchback,Hybrid","Midsize Cars","Compact","Car","4dr Hatchback","Car","4","1798","134","5200","105","4000"
"517",1,"101375674","Two","front wheel drive","4","Hybrid","Midsize Station Wagons","Midsize","Car","Wagon","Car","4","1798","134","5200","105","4000"
"518",1,"200440736","Two","front wheel drive","4","Hybrid","Midsize Station Wagons","Midsize","Car","Wagon","Car","4","1798","134","5200","105","4000"
"519",1,"200490606","Five","front wheel drive","4","Hybrid","Midsize Station Wagons","Midsize","Car","Wagon","Car","4","1798","134","5200","105","4000"
"520",1,"100777076","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2362","166","6000","165","4000"
"521",1,"100920101","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2362","166","6000","165","4000"
"522",1,"101201386","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2494","179","6000","172","4000"
"523",1,"101351364","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2494","179","6000","172","4000"
"524",1,"101213347","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2494","179","6000","172","4000"
"525",1,"101422881","LE","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2494","176","6000","172","4100"
"526",1,"200497408","XLE","all wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2494","176","6000","172","4100"
"527",1,"200710543","LE","front wheel drive","4","Crossover","Small Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2494","176","6000","172","4100"
"528",1,"200731831","SE","front wheel drive","4","Crossover","Small Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2494","176","6000","172","4100"
"529",1,"200495461","Base","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","0",NA,NA,NA,NA,NA
"530",1,"100257805","CE 7-Passenger","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","6","3311","230","5600","242","3600"
"531",1,"100458136","CE 7-Passenger","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","6","3311","230","5600","242","3600"
"532",1,"100604392","CE 7-Passenger","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","6","3311","215","5600","222","3600"
"533",1,"100834792","CE 7-Passenger","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","6","3456","266","6200","245","4700"
"534",1,"101254343","Base 7-Passenger","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","4","2672","187","5800","186","4100"
"535",1,"200435874","L 7-Passenger","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","6","3456","266","6200","245","4700"
"536",1,"200489890","LE 7-Passenger Mobility Auto Access","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","6","3456","266","6200","245","4700"
"537",1,"200705268","CE Fleet Cargo Van","front wheel drive","4","N/A","Minivan","Large","Minivan","Passenger Minivan","Minivan","6","3456","266","6200","245","4700"
"538",1,"100003141","Base","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2438","142","5000","160","4000"
"539",1,"100339738","Base","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2438","142","5000","160","4000"
"540",1,"100633129","Base","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2694","159","5200","180","3800"
"541",1,"100793568","Base","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2694","159","5200","180","3800"
"542",1,"101336165","Base","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2694","159","5200","180","3800"
"543",1,"200431827","Base","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2694","159","5200","180","3800"
"544",1,"200492029","Base","four wheel drive","4","N/A","Small Pickup Trucks","Compact","Truck","Extended Cab Pickup","Truck","4","2694","159","5200","180","3800"
"545",1,"200708599","Base","rear wheel drive","4","N/A","Small Pickup Trucks","Compact","Truck","Crew Cab Pickup","Truck","4","2694","159","5200","180","3800"
"546",1,"100414631","Base","rear wheel drive","2","N/A","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","6","3956","245","5200","282","3800"
"547",1,"200466836","SR","rear wheel drive","2","N/A","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","6","3956","270","5600","278","4400"
"548",1,"100689152","Base","front wheel drive","4","N/A","Subcompact Cars","Compact","Car","Sedan","Car","4","1496","106","6000","103","4200"
"549",1,"100919847","Base","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1496","106","6000","103","4200"
"550",1,"101200497","Base","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1496","106","6000","103","4200"
"551",1,"101400629","L","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1497","106","6000","103","4200"
"552",1,"200442448","L","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1497","106","6000","103","4200"
"553",1,"200482941","L","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1497","106","6000","103","4200"
"554",1,"200705965","L","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","4","1497","106","6000","103","4200"
